Control Point Name,iC4H10,O2,N2,N2O,H2,Furnace Temp,Reactor Temp,Ramp Rate,Number of Samples,Delay Time,Injection Offset,gc_stream,Bulk SP
Control Point Units,mL/min,mL/min,mL/min,mL/min,mL/min,degC,degC,degC/min,Number,min,min,Int,mLn/min
Control Point Emergency Value,0,0,119,0,0,-999,-1,0,0,0,0,2,15
Control Point Parent Device Name,bronkhorst_mfc,bronkhorst_mfc,bronkhorst_mfc,bronkhorst_mfc,bronkhorst_mfc,eurotherm_3216_async,eurotherm_3216_async,eurotherm_3216_async,inficon_gc,inficon_gc,inficon_gc,vici_valves_8way,alicat_bb9
RECPE_STARTS_BELOW,,,,,,,,,,,,,
30,0,0,75.075,0,74.0925,25,-1,0,0,0,0,1,15
60,0,0,75.075,0,74.0925,550,-1,20,7,8,0,1,15
26.25,0,0,75.075,0,74.0925,550,-1,0,0,0,0,1,15
45,0,0,119.119,0,0,550,1,0,9,0,0,1,15
5,57.2025,0,75.075,0,0,-999,-1,0,0,0,0,1,0
11,57.2025,0,75.075,0,0,-999,-1,0,2,0,3,1,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,2,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,3,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,4,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,5,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,6,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,1,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,2,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,3,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,4,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,5,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,6,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,1,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,2,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,3,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,4,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,5,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,6,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,1,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,2,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,3,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,4,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,5,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,6,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,1,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,2,15
16.5,57.2025,0,75.075,0,0,-999,-1,0,3,0,3,3,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,4,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,5,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,6,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,1,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,2,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,3,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,4,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,5,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,6,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,1,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,2,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,3,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,4,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,5,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,6,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,1,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,2,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,3,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,4,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,5,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,6,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,1,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,2,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,3,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,4,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,5,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,6,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,1,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,2,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,3,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,4,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,5,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,6,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,1,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,2,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,3,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,4,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,5,15
5.5,57.2025,0,75.075,0,0,-999,-1,0,1,0,3,6,15
120,0,0,119.119,0,0,25,-1,0,0,0,0,6,15
15,57.2025,0,75.075,0,0,25,-1,0,3,0,0,1,15
16.5,57.2025,0,75.075,0,0,25,-1,0,3,0,3,1,15
16.5,57.2025,0,75.075,0,0,25,-1,0,3,0,3,2,15
16.5,57.2025,0,75.075,0,0,25,-1,0,3,0,3,3,15
16.5,57.2025,0,75.075,0,0,25,-1,0,3,0,3,4,15
16.5,57.2025,0,75.075,0,0,25,-1,0,3,0,3,5,15
16.5,57.2025,0,75.075,0,0,25,-1,0,3,0,3,6,15
5,0,0,119.119,0,0,25,-1,0,0,0,3,6,15
